Alaska Dispatch News,44%,49%,7%,alaska
GQR Research,43%,48%,9%,arizona
Public Policy,40%,44%,16%,arizona
OH Predictive Insights,47%,42%,11%,arizona
Public Policy,41%,45%,14%,arizona
Rocky Mountain Poll,42%,35%,23%,arizona
Merrill Poll,38%,38%,24%,arizona
GQR Research,39%,45%,6%,arizona
Hendrix College,36%,47%,17%,arkansas
Hendrix College,36%,47%,9%,arkansas
PPIC,46%,30%,24%,california
Field Poll,58%,28%,14%,california
YouGov/CBS News,45%,33%,22%,california
Field Poll,53%,34%,13%,california
USC / LA Times,54%,33%,13%,california
NBC News/WSJ/Marist,55%,31%,14%,california
Golden State Poll,45%,33%,22%,california
PPIC,49%,39%,12%,california
SurveyUSA,52%,38%,10%,california
SurveyUSA,56%,34%,10%,california
,,,,california
,,,,california
,,,,california
PPIC,46%,30%,11%,california
Field Poll,50%,26%,14%,california
Golden State Poll,45%,33%,18%,california
NBC News/WSJ/Marist,43%,35%,22%,colorado
Gravis Marketing,43%,41%,16%,colorado
Fox News,44%,34%,22%,colorado
Monmouth University,48%,35%,17%,colorado
Harper Polling,45%,38%,17%,colorado
YouGov/CBS News,40%,39%,21%,colorado
Quinnipiac,37%,48%,15%,colorado
NBC News/WSJ/Marist,39%,33%,11%,colorado
Gravis Marketing,39%,38%,10%,colorado
Fox News,37%,28%,16%,colorado
Monmouth University,48%,35%,9%,colorado
YouGov/CBS News,40%,39%,16%,colorado
Quinnipiac,45%,38%,17%,connecticut
Emerson College,48%,40%,12%,connecticut
Quinnipiac,47%,40%,13%,connecticut
Quinnipiac,41%,36%,14%,connecticut
Fairleigh Dickinson,42%,32%,26%,delaware
Fairleigh Dickinson,42%,32%,17%,delaware
NBC News/WSJ/Marist,44%,37%,19%,florida
Quinnipiac,39%,42%,19%,florida
JMC Analytics,42%,47%,11%,florida
GQR Research,52%,39%,9%,florida
SurveyUSA,46%,42%,12%,florida
YouGov/CBS News,44%,41%,15%,florida
Quinnipiac,47%,39%,14%,florida
Public Policy,44%,45%,11%,florida
Mason-Dixon,45%,42%,13%,florida
YouGov/CBS News,43%,42%,15%,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
,,,,florida
NBC News/WSJ/Marist,41%,36%,12%,florida
Quinnipiac,36%,41%,12%,florida
JMC Analytics,42%,47%,8%,florida
GQR Research,49%,38%,4%,florida
SurveyUSA,46%,42%,9%,florida
YouGov/CBS News,44%,41%,11%,florida
Quinnipiac,42%,36%,12%,florida
Public Policy,40%,41%,13%,florida
Mason-Dixon,45%,42%,7%,florida
Landmark / Rosetta Stone,45%,45%,10%,georgia
SurveyUSA,42%,46%,12%,georgia
Landmark / Rosetta Stone,44%,46%,10%,georgia
Public Policy,40%,49%,11%,georgia
Opinion Savvy,41%,44%,15%,georgia
Atlanta Journal-Constitution,41%,45%,14%,georgia
Landmark / Rosetta Stone,41%,42%,17%,georgia
Lake Research,50%,37%,13%,georgia
SurveyUSA,41%,50%,9%,georgia
SurveyUSA,37%,46%,17%,georgia
Landmark / Rosetta Stone,45%,45%,5%,georgia
SurveyUSA,42%,46%,5%,georgia
Landmark / Rosetta Stone,44%,46%,2%,georgia
Public Policy,38%,45%,9%,georgia
Dan Jones & Assoc.,23%,44%,33%,idaho
Dan Jones & Assoc.,29%,52%,19%,idaho
Dan Jones & Assoc.,23%,44%,25%,idaho
Victory Research,51%,34%,15%,illinois
Public Policy,51%,33%,16%,illinois
Victory Research,51%,34%,4%,illinois
NBC News/WSJ/Marist,41%,48%,11%,indiana
YouGov/CBS News,39%,40%,21%,iowa
Gravis Marketing,39%,37%,24%,iowa
NBC News/WSJ/Marist,42%,39%,19%,iowa
Monmouth University,42%,44%,14%,iowa
Loras College,48%,34%,18%,iowa
Public Policy,41%,39%,20%,iowa
Public Policy,44%,41%,15%,iowa
Public Policy,42%,42%,16%,iowa
NBC News/Marist,48%,40%,12%,iowa
Public Policy,45%,43%,12%,iowa
,,,,iowa
,,,,iowa
,,,,iowa
,,,,iowa
YouGov/CBS News,39%,40%,16%,iowa
Gravis Marketing,42%,40%,8%,iowa
NBC News/WSJ/Marist,37%,37%,15%,iowa
Monmouth University,42%,44%,7%,iowa
Loras College,44%,31%,17%,iowa
Fort Hayes St. U.,27%,44%,29%,kansas
SurveyUSA,36%,47%,17%,kansas
John Zogby Strategies,43%,36%,21%,kansas
Fort Hayes St. U.,27%,44%,22%,kansas
