QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USORC.063015A.R25B","Support","63","As you may know, the Supreme Court ruled that government assistance for lower-income Americans buying health insurance through both state-operated and federally-operated health insurance exchanges is legal. Do you support or oppose this ruling?","","","06/30/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.063015A.R25B","Oppose","34","As you may know, the Supreme Court ruled that government assistance for lower-income Americans buying health insurance through both state-operated and federally-operated health insurance exchanges is legal. Do you support or oppose this ruling?","","","06/30/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.063015A.R25B","No opinion","3","As you may know, the Supreme Court ruled that government assistance for lower-income Americans buying health insurance through both state-operated and federally-operated health insurance exchanges is legal. Do you support or oppose this ruling?","","","06/30/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.070115.R05A","Extremely important","47","How important will each of the following issues be to your vote for President next year (2016)--will it be extremely important, very important, moderately important, or not that important?...The economy","* = less than .5%.","","07/01/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.070115.R05A","Very important","41","How important will each of the following issues be to your vote for President next year (2016)--will it be extremely important, very important, moderately important, or not that important?...The economy","* = less than .5%.","","07/01/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.070115.R05A","Moderately important","11","How important will each of the following issues be to your vote for President next year (2016)--will it be extremely important, very important, moderately important, or not that important?...The economy","* = less than .5%.","","07/01/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.070115.R05A","Not that important","2","How important will each of the following issues be to your vote for President next year (2016)--will it be extremely important, very important, moderately important, or not that important?...The economy","* = less than .5%.","","07/01/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.070115.R05A","No opinion","*","How important will each of the following issues be to your vote for President next year (2016)--will it be extremely important, very important, moderately important, or not that important?...The economy","* = less than .5%.","","07/01/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.070115.R05C","Extremely important","44","(How important will each of the following issues be to your vote for President next year (2016)--will it be extremely important, very important, moderately important, or not that important?)...Health care","* = less than .5%.","","07/01/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
"USORC.070115.R05C","Very important","39","(How important will each of the following issues be to your vote for President next year (2016)--will it be extremely important, very important, moderately important, or not that important?)...Health care","* = less than .5%.","","07/01/2015","ORC International","Cable News Network","CNN/ORC International Poll","06/26/2015","06/28/2015","Y","national adult with an oversample of blacks","1017","telephone","The sample included 611 interviews among landline respondents and 406 interviews among cell phone respondents. Results were weighted to be representative of a national adult sample." 
